,OBJECTID,IMPROVEMEN,DAMAGE,HOME_OWNER,SQUARE_FOO,income_indiv,home_ins,fin_asset,geometry,dollar_needed,balance,insurance,fema,sba,cdbg,bank,ngo,param,insurance_time,fema_time,sba_time,cdbg_time,bank_time,ngo_time,param_time,total_time,cdbg_tier,savings,cons_time,cons_start,cons_finish
14423,420867,176723,1,H,1589,89755.15419335078,176723.0,697421.0,0,353.446,0.0,0.0,0.0,0.0,0.0,353.446,0.0,0,0.0,0.0,0.0,0.0,84.33716814946509,0.0,0,84.33716814946509,4,0.0,3.370979827670555,84.33716814946509,87.70814797713564
14424,420870,350525,1,H,2680,55526.32844646162,247110.64,642952.0,0,701.0500000000001,0.0,0.0,0.0,314.77145,0.0,386.27855000000005,0.0,0,0.0,0.0,15.821572867855371,0.0,48.256488148331705,0.0,0,64.07806101618708,2,0.0,1.6172476510652087,64.07806101618708,65.69530866725229
14425,420899,349546,1,H,1670,73099.3481811308,240136.47,772487.0,0,699.092,0.0,0.0,0.0,313.892308,0.0,385.19969199999997,0.0,0,0.0,0.0,24.925917604788946,0.0,33.27111369087755,0.0,0,58.19703129566649,2,0.0,3.919069342465652,58.19703129566649,62.116100638132146
14426,420914,236081,1,H,1086,240186.17758773424,236081.0,772487.0,0,472.16200000000003,0.0,0.0,0.0,0.0,0.0,472.16200000000003,0.0,0,0.0,0.0,0.0,0.0,152.44065093882878,0.0,0,152.44065093882878,4,0.0,2.110450492536142,152.44065093882878,154.5511014313649
14427,420955,214200,1,H,1050,45931.08854943967,214200.0,689293.0,0,428.40000000000003,428.40000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,0.0,1.4657819196129702,,
14428,420974,355239,1,H,2668,149926.85499907774,268962.7,800657.0,0,710.4780000000001,0.0,0.0,0.0,319.00462200000004,0.0,391.473378,0.0,0,0.0,0.0,53.28276880457367,0.0,93.43982937704449,0.0,0,146.72259818161817,4,0.0,1.1210969446806436,146.72259818161817,147.8436951262988
14429,420980,210630,1,H,1271,83758.96616235594,210630.0,527456.0,0,421.26,0.0,0.0,0.0,189.14574,0.0,232.11426,0.0,0,0.0,0.0,14.32169378789016,0.0,70.74662652335064,0.0,0,85.0683203112408,4,0.0,2.0849711208493655,85.0683203112408,87.15329143209016
14430,420982,223078,1,H,1178,112786.4724051382,223078.0,808778.0,0,446.156,0.0,0.0,0.0,200.32404400000001,0.0,245.831956,0.0,0,0.0,0.0,54.29235526977412,0.0,39.96020024318673,0.0,0,94.25255551296085,4,0.0,1.669088332505625,94.25255551296085,95.92164384546648
14431,420985,213035,1,H,1681,51445.9909014495,213035.0,395972.0,0,426.07,426.07,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,0.0,4.119242205449333,,
14432,420986,147597,1,H,1183,61196.87856163675,147597.0,395972.0,0,295.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,295.194,2.1577457119566823,0.0,2.1577457119566823
